request_rate,ip_change,failed_attempts,device_trust,time_of_day,location_risk,is_attack
1.57,0,0,0.84,13,0.01,0
17.33,0,0,0.95,9,0.12,0
13.66,0,8,0.52,23,0.61,1
23.69,0,9,0.57,22,0.71,1
13.76,1,1,0.36,5,0.43,0
25.9,1,7,0.34,5,0.64,1
21.89,1,1,0.48,23,0.94,1
4.91,1,1,0.48,11,0.66,1
21.24,1,0,0.31,1,0.65,0
0.54,1,1,0.61,19,0.47,1
7.24,0,4,0.33,22,0.28,0
4.02,1,0,0.25,0,1.0,1
12.77,0,0,0.93,13,0.35,1
4.85,0,0,0.9,11,0.19,0
6.68,1,7,0.1,21,0.79,0
9.34,0,2,0.57,14,0.04,1
3.41,0,0,0.76,16,0.02,0
33.85,1,0,0.31,5,0.75,1
2.32,0,0,0.74,11,0.04,0
4.47,0,1,0.76,17,0.28,0
7.88,0,0,0.98,16,0.12,0
2.09,0,0,0.9,13,0.09,0
31.04,0,1,0.61,0,0.72,1
5.29,0,1,0.66,3,0.07,0
2.99,1,0,0.85,6,0.12,0
2.14,0,0,0.76,12,0.17,1
5.01,0,0,0.8,17,0.0,0
36.95,0,7,0.38,2,0.55,1
8.6,0,0,0.91,6,0.13,1
0.1,0,0,0.59,16,0.58,0
31.34,0,0,0.52,1,0.6,1
6.58,0,0,0.88,11,0.19,0
8.57,1,0,0.92,8,0.04,0
16.57,0,0,0.96,15,0.54,0
3.66,0,0,0.88,11,0.01,0
4.46,0,2,0.69,16,0.7,1
3.44,0,0,0.65,11,0.25,0
0.59,0,0,1.0,17,0.0,0
1.01,0,0,0.78,15,0.04,0
5.56,0,0,0.52,10,0.12,0
7.93,0,4,0.79,14,0.1,0
2.72,0,0,0.91,15,0.16,0
15.78,0,3,0.95,12,0.37,0
31.84,0,1,0.28,3,0.73,1
4.25,0,0,0.84,9,0.12,0
10.06,0,0,0.81,4,0.36,0
18.88,0,15,0.3,21,0.68,1
9.98,0,0,0.95,9,0.5,1
1.52,0,0,0.82,15,0.28,0
17.57,0,1,0.84,12,0.12,1
5.34,0,0,0.72,15,0.05,0
